product_name,brand,category,initial_price,final_price,rating,brand_encoded,category_encoded
"30Pcs/Box Boxed Stickers, Hibiscus Flower Blooming Series, Exquisite Artistic Flower Petal Theme Stickers, Scrapbook Supplies, Decorative Notebooks, Photo Frames, Phone Cases, Water Cups, Garbage Magazines, Stationery Boxes, DIY Personalized Collage",SHEIN,Assorted Stickers,1.6,1.6,0,25,9
"1pc Unique & Charming Daisy Flower Shaped Open Ring, Fashion Jewelry Gift For Women - Party, Birthday, Anniversary",SHEIN,Fine Single Ring,8.1,8.1,0,25,146
"14pcs Set: Creative Triangle Wood Pencils, HB Macaron Colors Pencils, Ergonomic Pencils (Unsharpened)",SHEIN,Standard Pencils,3.0,1.8,0,25,389
"Unbeatablesale Kdar N8HD100 7.9 In. Heavy Duty Standard Cable Ties, Natural - Pack Of 100",Unbeatablesale,Labeling Supplies,19.13,19.13,0,30,239
"1pc Unisex Children & Adults Rhinestone Studded Belt, Punk Fashion Rivet Leather Belt For Jeans, Jackets, Millennium Punk, Hip Hop, Cosplay, Halloween",SHEIN,Kids Belts & Suspenders,3.6,3.1,0,25,208
Unbeatablesale T Black Halter - 800-1100 Lbs - Medium,Unbeatablesale,"Pet Collars, Leashes & Harnesses Sets",48.12,48.12,0,30,325
"1set Butterfly Girl Digit Oil Painting Kit, Art Painting Set For Bedroom Decor And Wall Art, Simple And Fun Painting Hobby, Best Gift For Friend, 40*50CM",SHEIN,Paint By Number & Accessories,6.4,6.2,0,25,310
Swimming Pool Cover Protector Dustproof Waterproof Paddling Pool Cover 10,SHEIN,Other (Swim Gear),59.99,30.99,0,25,286
Asics Women's Gel Kayano 30 Running Shoes In Blue Denim,Asics,Women's Running Shoes,162.75,162.75,0,1,497
Kapuluan Coconut Oil Jar 2oz And Coconut Pulling Oil Tropical Breeze Flavor 8oz,SHEIN,Mouthwash,27.0,24.99,0,25,274
20pcs Flower Design Hair Claw Boho,SHEIN,Hair Claws,1.6,1.6,0,25,174
Syncfun 28 Pcs Valentine 28 Mochi Squishy Filled Heart Toys And Cards,SHEIN,Fidget Toys for Teenager,24.8,18.8,0,25,142
20pcs Cute Cartoon Pink Hair Clip For Women,SHEIN,Hair Clips,3.8,3.6,0,25,175
20pcs Random Color Hair Claw Boho,SHEIN,Hair Claws,1.4,1.4,0,25,174
20pcs Cute Cartoon Pink Hair Clips For Women,SHEIN,Hair Clips,3.2,2.56,0,25,175
20PCS Women's 3 Color Box Y2k Dopamine Color Pentagon Star Small Hairpin Bb Clip,SHEIN,Hair Clips,2.3,1.38,0,25,175
"1pc Travel Portable Door Lock, Reliable Safety For Travel And Hotel Stays, Provides Extra Privacy And Security Against Unauthorized Entry For Homes, Hotels, And Apartments Travel Essentials School Back To School School Supplies Holiday Camping Holiday Essentials Vacation Accessories Mini Summer",SHEIN,Cipher Locks,4.0,3.8,0,25,62
"Unbeatablesale 36 In. Spiral Eucalyptus Vine Artificial Flower Leaf,; Burgundy",Unbeatablesale,Artificial Grass,24.5,24.5,0,30,5
"1PC Silk Roses Vine Artificial Flowers Fake Green Leaf Plants Valentine's Day Bride Bouquet For Autumn Decorations Wedding Vase For Home Dining Room Bedroom Decorations, Festival Birthday Party Accessories, Outdoor Garden Decorations",SHEIN,Artificial Flowers,2.7,2.6,0,25,4
Fossil Women's Harlow Linear Texture Gold-Tone Stainless Steel Chain Necklace,Fossil,Women Pendant Necklaces,54.25,54.25,0,8,480
Judy Blue HIGH WAIST STRAIGHT LEG JEAN,SHEIN,Women Jeans,78.0,55.0,0,25,475
"1pc Unisex Fashionable Wraparound Sports Sunglasses, Suitable For Hiking, Running, Outdoor, Travel",SHEIN,Women Sports Glasses,4.4,4.2,0,25,488
"Summer Orange Juice Drink Scented Candle - Candle Gift Set, Smokeless Candle, Healthy & , Orange Juice Fragrance Candle To Bring Vitality & Freshness To Your Space",SHEIN,Jar Candles,9.0,8.7,0,25,196
10pcs Student Cartoon Pencil Writing Wooden Pencil With Rubber Head Exam Learning Prize (Random Style),SHEIN,Kids Writing Tools,2.3,2.3,0,25,231
"1PC-PANCERKA- Electric Kettle For Coffee & Tea - 1.8L Water Boiler 1000-1500W, Borosilicate Glass, Easy Clean Wide Opening, Auto Shut-Off, Cool Touch Handle, LED Light. 360° Rotation, Boil Dry Protection",SHEIN,Electric Kettles,37.8,18.9,0,25,131
"JENNIFER 24 Inches Of Natural Layered Long Curly Hair With Fringe Wig, Specially Designed For Girls A Beautiful Wig, Suitable For Women Festival Cosplay Friends Party Daily Wear",SHEIN,Synthetic Woven Wigs,14.6,12.7,0,25,407
"20pcs Furniture Chair Leg Protectors, Silicone Chair Leg Covers, Anti-Slip Chair Leg Pads",SHEIN,Edge Protection,2.2,2.1,0,25,130
New Student Pencil Case Ins Large Capacity Simple Front Window Pencil Case Girl Cosmetic Bag Storage Bag Pencil Case,SHEIN,Pencil Bags,4.3,2.15,0,25,318
Paris Hilton Just Me For Men 3.4 Oz EDT Spray,Paris Hilton,Perfume,48.66,37.69,0,21,323
"Jepeak Jepeak Decorative Throw Pillow Covers Pack Of 4 Chenille Pillowcases Cozy Modern Concise Square Cushion Covers For Sofa Couch Bedroom Home Decor, 24x24 Inch",Jepeak,Cushion Cover,42.0,30.2,0,12,87
Instantly Upgrade Your Look With 24pcs Short Square Black White French Style Asymmetrical Stripe Graffiti Elegant Floral Solid Color Glitter 3D Star Bling Pearl Heart Rhinestone Decor Full Cover Fake Press On Nail Kit Suitable For Daily Will Give Your Look A Hot,SHEIN,Press On False Nails,2.1,1.8,0,25,346
"20Pcs Pretty Girl Series DIY Charms For Shoe Key Chain Sandals Beach Bags, PVC Shoe Charms For Clogs Premium Quality Popular Decorations Accessories Great Gifts For Christmas, Birthday, Party",SHEIN,Fittings DIY & Tools,2.2,2.1,0,25,149
"14pcs Pink Hair Beads Accessories For Braids,Star Pearl Small Bear Design Hair Rings Decorations,Women Hair Accessories For Hair And Dreadlocks. Cute",SHEIN,Hair Clips,1.5,1.4,0,25,175
